rank,zp_minmax,sim_mwh,dominant_mwh,heat_mwh,cool_mwh,i1,i2,i3,i4,i5
298,0.017953631,10787.298,600842.157,149467.463,462161.992,13,14,15,18,19
299,0.017953793,10743.497,598397.047,147462.330,461678.214,9,15,16,18,19
300,0.017953912,10732.144,597760.780,147115.947,461376.978,12,16,17,18,19
301,0.017954330,10800.730,601566.856,150044.605,462322.980,12,13,14,18,19
302,0.017955689,10781.894,600472.312,148639.267,462614.939,9,11,15,18,19
303,0.017955938,10795.061,601197.275,149216.409,462775.927,9,11,12,18,19
304,0.017956509,10744.421,598358.002,147250.543,461851.879,14,15,17,18,19
305,0.017959663,10770.723,599717.449,148174.069,462314.104,9,14,15,18,19
306,0.017959965,10760.148,599118.527,148039.472,461839.202,9,12,16,18,19
307,0.017962721,10761.097,599079.456,147827.685,462012.868,12,14,17,18,19
308,0.017966892,10788.010,600438.293,148751.211,462475.092,9,12,14,18,19
309,0.017968947,10797.989,600924.952,149820.616,461902.325,11,13,16,18,19
310,0.017970485,10754.286,598441.622,147603.696,461592.212,11,16,17,18,19
311,0.017971769,10823.446,602247.123,150532.355,462538.214,11,13,14,18,19
312,0.017972086,10782.338,599949.185,148220.232,462511.292,11,12,15,18,19
313,0.017972177,10745.075,597872.786,147043.294,461574.567,12,15,16,18,19
314,0.017975114,10780.803,599762.733,148315.434,462228.102,11,14,17,18,19
315,0.017975185,10781.518,599800.139,148527.221,462054.437,9,11,16,18,19
316,0.017977764,10789.665,600167.242,149355.417,461601.490,13,14,16,18,19
317,0.017979351,10745.969,597683.906,147138.497,461291.377,14,16,17,18,19
318,0.017980410,10808.400,601120.886,149238.960,462690.326,9,11,14,18,19
319,0.017981610,10774.420,599191.070,147755.033,462210.457,12,14,15,18,19
320,0.017984458,10773.449,599042.176,148062.022,461753.602,9,14,16,18,19
321,0.017992494,10782.479,599276.497,148108.186,461950.790,11,12,16,18,19
322,0.017993005,10769.733,598551.112,147531.043,461789.802,11,15,16,18,19
323,0.017997175,10758.643,597796.169,147065.845,461488.967,14,15,16,18,19
324,0.017998958,10810.111,600596.493,148819.924,462586.679,11,12,14,18,19
325,0.017999055,10797.118,599871.355,148242.782,462425.691,11,14,15,18,19
326,0.018003351,10775.323,598517.619,147642.987,461649.955,12,14,16,18,19
327,0.018019290,10797.136,599198.789,148130.736,461865.189,11,14,16,18,19
328,0.018738817,11427.603,609835.881,147021.694,474241.790,10,13,17,18,20
329,0.018745838,11457.305,611191.929,147945.219,474704.014,9,10,13,18,20
330,0.018758595,11455.334,610671.217,147526.183,474600.368,10,12,13,18,20
